Species,number,temp,Substrate,max speed,av speed,max accel,av accel,accel standstill,HN,TA,SVL,TAIL,FFOOT,LFL,UFL,HFOOT,LHL,UHL,Mass
V.gouldii,296,37.6,sand,5.857928983,5.113816518,15.50357706,12.81282955,15.50357706,118,255,375,510,30.5,33,36,54,56,56,600
V.gouldii,209,36,sand,3.369870088,2.908400073,17.16464504,12.26393042,14.46164175,47.96,71.54,117.31,196,12.62,11.06,10.48,20.56,19.9,18.86,18.27
V.gouldii,210,36.5,sand,4.282588829,3.892864337,15.91864488,10.96485841,13.76180866,50.15,88.46,138.59,213,16.72,11.39,14.2,24.64,20.35,19.11,24.46
V.kingorum,98,34.7,sand,2.153058756,1.773376527,7.700447041,6.645094584,,32,71,101,222,10,8,9,14,10,12,14
V.kingorum,122,35.4,sc,2.282969176,1.956265186,10.37981373,8.4326018,,27.04,52.74,76.84,159,8.69,6.62,7.14,12.32,9.57,10.39,11.75
V.kingorum,136,36.1,sc,3.036922871,2.442897561,13.96341903,11.23363683,,39.81,72.36,109.44,258,11.42,9.14,9.89,17.95,13.8,15.25,30.15
V.kingorum,189,41.2,sc,3.245227233,3.245227233,15.5562741,15.5562741,,40.1,67.8,104.53,215,10.2,8.27,9.01,15.34,12.43,13.71,24.07
V.kingorum,190,35.8,sc,2.382824113,1.589924271,13.06874193,7.950728664,,30.7,62.21,95.44,180,9.44,8.23,7.27,14.17,11.55,11.57,13.68
V.kingorum,191,36.8,sc,2.276882306,1.902304989,12.9892948,9.661743325,,34.25,66.45,99.92,229.5,10.7,7.42,7.54,13.76,11.18,10.2,12.18
V.kingorum,192,36.5,sc,2.817726432,2.281187656,12.35701511,8.820699378,,38.19,63.32,99.97,105,10.28,9.07,9.55,15.21,12.17,12.5,21.96
V.mertensi,87,34.7,fld,1.759076189,1.711040827,8.258015276,8.258015276,7.103766867,92,149,243,332,30,17,16,37,28,25,153.5
V.mertensi,88,36,fld,2.828579638,2.562182345,8.654400587,8.654400587,8.000699059,104,183,297,417,31,29,25,50,36,35,261
V.mertensi,89,38.5,fld,3.95921433,3.287259028,11.59404636,11.59404636,,127,266,404,519,41,32,41,65,54,52,888
V.mertensi,90,35.4,fld,4.200872463,3.518121193,12.99323204,12.99323204,11.10420893,125,239,367,427,35,33,31,61,48,47,465.5
