"","X","file","Pelvis_height","Model_mass","Model_weight","Step_length_R","Step_length_L","Duty_factor_R","Duty_factor_L","Stride_freq","Stride_time","Target_speed","Speed","COT.main","Meta","flight_time","contact_events_total","Gravity","cong","GRFvert_R_max","GRFvert_R_min","GRFfore_R_max","GRFfore_R_min","med_gas_r_tendon","med_gas_r_muscle","lat_gas_r_tendon","lat_gas_r_muscle","soleus_r_tendon","soleus_r_muscle","EMA_knee","EMA_ankle","EMA_hip","metabolic.energy","muscle.activation","actuator.excitation","joint.accelerations","limit.torques","dadt","dFdt","arm.accelerations","planet","scale","job","filename","status_color","COT.status","grf","gait","bounds","status"
"887",887,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job891.mat",0.803291926326754,38,372.78,3.97304786658408,3.89599011465957,0.14,0.14,1.51021790358422,0.662156101862312,6,5.93988265467631,2.72758485888693,2.90176728223167,74,1,-3.73,60.7556112311147,1259.61337365719,-2.67730886694065e-13,76.1447512272511,-122.875597144656,1,1,1,1,1,1,0.157061491766,0.0489406318819959,0.098805430162775,355.186526755074,45.3672950298516,49.5985292075979,311.376886842098,1.36165806678805,6.30224739237477e-07,3.43279233657501e-07,5.36485602122624e-05,"mars","scale38","job891","mars_scale38_job891","#ffffff","2.7276","","straight leg bounding","","ok"
"888",888,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job892.mat",0.803291926326754,38,372.78,4.00151070067968,3.92870387733913,0.14,0.14,1.5749999843289,0.634920641238037,6.3,6.23717571444282,2.99615040522838,3.34701788853286,72,1,-3.73,58.9964123422033,958.167063136119,-8.53644785254099e-08,90.4919517883403,-108.15159086091,1,1,1,1,1,1,0.107702732055434,0.0469251954216536,0.0932826658385574,462.017427012125,52.1180532087192,54.1962852062123,352.265979379516,0.218622702448047,7.70186818793909e-07,4.29746642161017e-07,6.19239319040889e-05,"mars","scale38","job892",NA,NA,NA,NA,NA,NA,NA
"889",889,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_v1.mat",0.803291926326754,38,372.78,3.99398141968084,4.00480984744877,0.64,0.64,1.19485489309788,0.836921709721015,6.5,4.77836701804939,0.862649129812589,0.738278355232026,33,4,-3.73,61.2377751854743,809.169469661731,0.745154080237777,-3.01436812531065,-2721.25517177273,1,1,1,1,1,1,2.91031509408663,0.444954047012748,0.959705416585436,14.3221607886278,4.98063282776278,2037.12824764931,17.2088630998937,0.389521488712521,6.78474188359241e-11,4.3307233243266e-10,4.03820110230013e-07,"mars","scale38","v1",NA,NA,NA,NA,NA,NA,NA
"890",890,"./Falisse_et_al_2022_mars_scale4/Falisse_et_al_2022_mars_scale4_job1968.mat",0.395484520642143,4,39.24,1.74642379669181,1.72560993248743,0.17,0.17,2.85648487278528,0.350080621650528,5,4.94949979339027,8.07901043861698,7.16186158150434,74,2,-3.73,57.6227610676491,105.409539938486,-0.0074464381699845,9.08109447756597,-9.683752287658,1,1,1,1,1,1,0.0052065013887462,0.00225099256414283,0.00443868960916351,329.039221468605,107.579862401223,8.25291196853866,1753.68866492263,0.382849006426056,1.9742824402898e-06,7.77118448073661e-07,0.000163865812466772,"mars","scale4","job1968",NA,NA,NA,NA,NA,NA,NA
"891",891,"./Falisse_et_al_2022_mars_scale4/Falisse_et_al_2022_mars_scale4_job1973.mat",0.395484520642143,4,39.24,1.42252043014333,1.40399241992828,0.16,0.16,3.69136018675623,0.270902851362968,5.3,5.20977156910119,7.64343198993624,7.13203606057225,76,2,-3.73,57.7026357229844,83.6989867264281,-7.80677857240268e-07,5.92604391917613,-16.5704814717438,1,1,1,1,1,1,0.00539263377274665,0.00248038458690063,0.00478896028814677,290.899057924371,106.036269516157,5.31498281460872,3159.52668586357,0.792822858260333,2.36759192753992e-06,8.5495113398331e-07,0.000128274498319469,"mars","scale4","job1973",NA,NA,NA,NA,NA,NA,NA
"892",892,"./Falisse_et_al_2022_mars_scale4/Falisse_et_al_2022_mars_scale4_job1978.mat",0.395484520642143,4,39.24,1.62642138354841,1.60645835358544,0.15,0.15,3.18911822145944,0.313566299697215,5.2,5.14724937169408,7.17794241589176,6.61731216541883,78,2,-3.73,57.6674161448862,89.3093521239004,-2.76533073951481e-06,2.83235938946225,-11.7218447093321,1,1,1,1,1,1,0.00373571397789045,0.00284632368814124,0.00468548738077392,288.272894776375,95.1041228851455,6.21476347377118,3111.24848509175,0.967986989566582,2.22005187233525e-06,8.32682485320878e-07,0.000144926061456276,"mars","scale4","job1978",NA,NA,NA,NA,NA,NA,NA
"893",893,"./Falisse_et_al_2022_mars_scale4/Falisse_et_al_2022_mars_scale4_job1994.mat",0.395484520642143,4,39.24,1.59262806758811,1.57272096957403,0.15,0.15,3.19645929551536,0.312846154932429,5.1,5.05145461591705,7.39488874450634,6.69043788942619,78,2,-3.73,57.6484013035944,89.2016013555095,-5.74767667246303e-06,2.04654938217986,-12.9479350486987,1,1,1,1,1,1,0.00376812998217578,0.00285748265151011,0.00474784966327121,284.832961168641,99.5462356384408,6.75465309770538,3111.7348062124,1.05962327889087,2.30961546413681e-06,8.50823380452956e-07,0.000161869592407452,"mars","scale4","job1994",NA,NA,NA,NA,NA,NA,NA
"894",894,"./Falisse_et_al_2022_mars_scale5/Falisse_et_al_2022_mars_scale5_job1609.mat",0.423568162083412,5,49.05,1.80105749963876,1.77965536029124,0.15,0.15,2.54885013507535,0.392333776803412,4.6,4.55420190731858,5.91638360736978,4.82586367327376,76,2,-3.73,57.5316173325992,104.484425405372,-0.000110186615573345,10.4794284301475,-8.49215515822948,1,1,1,1,1,1,0.00489918089418351,0.00377732055017146,0.00577733247392416,227.111115344862,70.0199272198088,5.17241017906891,981.316180870286,2.31596394964645,1.69425831956899e-06,6.16202619961098e-07,0.000167404020629231,"mars","scale5","job1609",NA,NA,NA,NA,NA,NA,NA
"895",895,"./Falisse_et_al_2022_mars_scale5/Falisse_et_al_2022_mars_scale5_job1610.mat",0.423568162083412,5,49.05,1.8510910132068,1.82647869016708,0.16,0.16,2.53448901790774,0.394556848711665,4.7,4.65264009717752,5.29455242109427,4.41199645808803,72,2,-3.73,57.5078982149037,123.409168362534,-0.00991221934112163,9.22107900537043,-7.22231953302644,1,1,1,1,1,1,0.00713937973582705,0.00290606520727568,0.00583249181780459,165.495165687697,70.3923866529362,5.24298614725339,486.885797885879,0.773438509551229,1.47820563486489e-06,5.14688645954677e-07,0.000149497073349175,"mars","scale5","job1610",NA,NA,NA,NA,NA,NA,NA
"896",896,"./Falisse_et_al_2022_mars_scale5/Falisse_et_al_2022_mars_scale5_job1612.mat",0.423568162083412,5,49.05,1.77619551920288,1.75425640233844,0.16,0.16,2.75368154783034,0.363150198245658,4.9,4.85061265559606,7.75534061588983,6.73757970266747,74,2,-3.73,57.3690563863901,95.4245108185348,-9.28066809593055e-05,10.6263122750982,-8.53117805366208,1,1,1,1,1,1,0.00493420451689883,0.00365117298698222,0.00585709371811883,389.833198917653,97.9929257066531,8.21887039811266,2454.24945652198,1.16279954386516,2.1617770949457e-06,8.4074058369717e-07,0.000161568311985857,"mars","scale5","job1612",NA,NA,NA,NA,NA,NA,NA
