"","file","Mass","mean_pelvis","mean_torso","mean_speed","row"
"1","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job382_VDBA.mat",10,17.9653520953806,22.314307755804,1.35097751214996,1393
"2","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job383_VDBA.mat",10,12.8621155393959,16.2533487454757,2.01741363271542,1394
"3","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job385_VDBA.mat",10,13.3212745735331,16.3754118715592,2.87780938971249,1396
"4","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job386_VDBA.mat",10,12.43113591291,15.1905657455716,3.11171443106597,1397
"5","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job388_VDBA.mat",10,12.8811455605683,15.6760258577041,3.52868623028416,1399
"6","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job389_VDBA.mat",10,12.4303340118899,14.8153894254444,3.27932418807958,1400
"7","./Falisse_et_al_2022_scale10/Falisse_et_al_2022_scale10_job390_VDBA.mat",10,13.9070030854578,15.0027524765774,3.55745583728892,1401
"8","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job395_VDBA.mat",100,52.6715368831519,53.8458660703197,4.90725589727617,1415
"9","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job396_VDBA.mat",100,29.0357627836657,24.470055164035,2.21521842965265,1416
"10","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job398_VDBA.mat",100,26.6403277725914,21.825517853955,3.18938566672138,1418
"11","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job399_VDBA.mat",100,25.1161002034483,21.0642198485172,3.75636451233861,1419
"12","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job400_VDBA.mat",100,57.2249777836792,57.1513409814127,5.8421348988182,1420
"13","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job401_VDBA.mat",100,18.2372622581873,15.7198207423045,4.01352263385139,1421
"14","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job404_VDBA.mat",100,17.9092982897046,15.1534161426028,5.31294609888053,1424
"15","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job406_VDBA.mat",100,21.6970041718802,15.3597653478013,6.5407289609389,1426
"16","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job413_VDBA.mat",100,17.3205013947918,15.0719789071969,4.35869369773749,1430
"17","./Falisse_et_al_2022_scale100/Falisse_et_al_2022_scale100_job414_VDBA.mat",100,17.298007611009,15.0884017051278,4.80897545393586,1431
"18","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job655_VDBA.mat",20,16.4453010320919,19.6295047105833,0.456648610759783,1452
"19","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job656_VDBA.mat",20,18.6588010807394,23.5636927741709,1.71239239105503,1453
"20","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job657_VDBA.mat",20,17.4265165435656,20.7211020596457,2.32186190892427,1454
"21","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job658_VDBA.mat",20,39.1007584950871,44.5736103285021,3.39539147946441,1455
"22","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job659_VDBA.mat",20,13.9013250313612,16.4017701837733,2.60069126141721,1456
"23","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job661_VDBA.mat",20,14.3297982497223,16.8330037601779,3.55465131827269,1458
"24","./Falisse_et_al_2022_scale20/Falisse_et_al_2022_scale20_job663_VDBA.mat",20,12.6339544849916,13.9182857991787,3.6865600329243,1460
