ID,Name,threshold,IndMean,IndMax,SpeciesMean,SpeciesMeanMax,Species,LogMass,Device,DeviceAttachment,total_min,high_min,med_min,low_min,rest_min,prop_high,prop_med,prop_low,prop_rest
5,Pagano_Bear,active,0.30667187350746,3.06990546422014,0.287584878955559,3.14164571729144,Polar Bear and Brown Bear,5.26,,,823.3125,0.13125,4.671875,385.495833333333,433.013541666667,0.000159416989296288,0.00567448569042739,0.468225410562008,0.525940686758268
6,Clemente_Impala,active,0.118473175876724,3.96723245639704,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,104.727666666667,0.00133333333333333,0.008,28.6013333333333,76.117,1.2731433591251e-05,7.63886015475058e-05,0.273101981965924,0.726808897998937
6,Harris_Sheep,active,0.290339075208004,1.94045002708293,0.239265368297213,4.37539672971814,Merino and Suffolk,5,Actigrapgh wGT3X-BT,Face,32.3277777777778,0,0,21.9588888888889,10.3688888888889,0,0,0.679257604399381,0.320742395600619
6,Pagano_Bear,active,0.251423726286968,2.76639696436743,0.287584878955559,3.14164571729144,Polar Bear and Brown Bear,5.26,,,886.1875,0.0229166666666667,1.23645833333333,343.803125,541.125,2.58598396689941e-05,0.001395255894868,0.387957542845053,0.61062134142041
6017913_0000000000,Clemente_Kudu,active,0.224369515189723,2.07825411857401,0.224369515189723,2.07825411857401,Greater Kudu,5.26,Axivity,Collar,5.66666666666667,0.003,0.0266666666666667,2.30633333333333,3.33066666666667,0.000529411764705882,0.00470588235294118,0.407,0.587764705882353
7,Clemente_Impala,active,0.133465208154975,3.49507626609469,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,106.51,0,0.0123333333333333,32.6456666666667,73.852,0,0.000115795074014959,0.306503301724408,0.693380903201577
7,Harris_Sheep,active,0.248695372102292,3.73210431706918,0.239265368297213,4.37539672971814,Merino and Suffolk,5,Actigrapgh wGT3X-BT,Face,30.9388888888889,0.000555555555555556,0.00166666666666667,22.0172222222222,8.91944444444444,1.79565451607111e-05,5.38696354821332e-05,0.711635841264141,0.288292332555216
7,Pagano_Bear,active,0.243640603873775,2.60593071827378,0.287584878955559,3.14164571729144,Polar Bear and Brown Bear,5.26,,,948.3125,0.009375,0.889583333333333,297.979166666667,649.434375,9.88598167798062e-06,0.000938069816999495,0.314220435422571,0.684831608778752
8,Clemente_Impala,active,0.1475137299844,4.35037063999514,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,109.054,0.004,0.019,38.1313333333333,70.8996666666667,3.66790764208557e-05,0.000174225612999065,0.349655522340614,0.650133572969966
8,Harris_Sheep,active,0.229887454171306,3.81901445296077,0.239265368297213,4.37539672971814,Merino and Suffolk,5,Actigrapgh wGT3X-BT,Face,31.5333333333333,0.00166666666666667,0.000555555555555556,21.0511111111111,10.48,5.28541226215645e-05,1.76180408738548e-05,0.667582804792107,0.332346723044397
8,Pagano_Bear,active,0.328381894934348,2.90391403823666,0.287584878955559,3.14164571729144,Polar Bear and Brown Bear,5.26,,,711.6875,0.078125,2.18333333333333,332.520833333333,376.905208333333,0.000109774304030912,0.00306782588331723,0.467228711103305,0.529593688709347
9,Clemente_Impala,active,0.197550253460078,4.7032764141397,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,126.792,0.00333333333333333,0.0956666666666667,42.344,84.349,2.62897764317412e-05,0.000754516583590973,0.333964287967695,0.665254905672282
9,Harris_Sheep,active,0.235352952377554,3.34058951380294,0.239265368297213,4.37539672971814,Merino and Suffolk,5,Actigrapgh wGT3X-BT,Face,33.9166666666667,0.00111111111111111,0.005,25.045,8.86555555555555,3.27600327600328e-05,0.000147420147420147,0.738427518427519,0.261392301392301
9,Pagano_Bear,active,0.253046627042316,3.14164571729144,0.287584878955559,3.14164571729144,Polar Bear and Brown Bear,5.26,,,787.0625,0.186458333333333,1.94270833333333,332.142708333333,452.790625,0.000236904100161465,0.00246830249609571,0.422002964609969,0.575291828793774
Acc2,Rautiainen_Reindeer,active,0.113030298425258,0.913956754110016,0.113030298425258,0.913956754110016,9-month-old Reindeer,4.85,Axy,Collar,11.6666666666667,0.0166666666666667,0.121666666666667,7.98666666666667,3.54166666666667,0.00142857142857143,0.0104285714285714,0.684571428571429,0.303571428571429
Angelina,Sparkes_Koala,active,0.322757350181577,1.14931006865619,0.237612777816358,3.12307625086235,Koala (Queensland),3.84,Axivity,,0.0636666666666667,0,0,0.031,0.0326666666666667,0,0,0.486910994764398,0.513089005235602
Anne,Sparkes_Koala,active,0.271482280531721,0.995748580234234,0.237612777816358,3.12307625086235,Koala (Queensland),3.84,Axivity,,0.0326666666666667,0,0,0.026,0.00666666666666667,0,0,0.795918367346939,0.204081632653061
