"Observation.id","Observation.date","Description","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s."
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Browsing","Browsing","Low","STATE","41135.792","41137.542","1.750"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41138.043","41142.795","4.752"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41142.853","41145.474","2.621"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41146.220","41149.973","3.753"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Agnostic behavior",NA,NA,"STATE","41149.999","41150.722","0.723"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41151.249","41153.754","2.505"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Agnostic behavior",NA,NA,"STATE","41153.902","41158.152","4.250"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Agnostic behavior",NA,NA,"STATE","41158.904","41160.401","1.497"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41160.643","41164.142","3.499"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Missing data",NA,NA,"STATE","41164.390","41167.892","3.502"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41168.143","41173.573","5.430"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41173.853","41175.103","1.250"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41176.100","41177.471","1.371"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41178.473","41184.959","6.486"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41184.960","41185.250","0.290"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Browsing","Browsing","Low","STATE","41185.402","41187.652","2.250"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41188.152","41197.153","9.001"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41197.674","41205.170","7.496"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41205.601","41205.852","0.251"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41207.100","41209.354","2.254"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Browsing","Browsing","Low","STATE","41209.599","41225.103","15.504"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41226.303","41227.051","0.748"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41227.800","41233.039","5.239"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41234.542","41235.323","0.781"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41235.820","41238.324","2.504"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41239.107","41239.352","0.245"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41239.604","41251.103","11.499"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41251.654","41251.901","0.247"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41251.999","41256.903","4.904"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41257.394","41258.391","0.997"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41259.671","41262.676","3.005"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41263.200","41264.452","1.252"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41264.701","41265.203","0.502"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41265.452","41267.202","1.750"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Grazing","Foraging","While walking","STATE","41267.206","41268.192","0.986"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41268.440","41268.941","0.501"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Missing data",NA,NA,"STATE","41269.194","41271.474","2.280"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41272.470","41278.223","5.753"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41278.472","41278.621","0.149"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41279.122","41281.871","2.749"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41282.152","41284.651","2.499"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41285.403","41286.652","1.249"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41287.151","41295.449","8.298"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41295.450","41297.450","2.000"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41298.200","41303.203","5.003"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41303.224","41303.719","0.495"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41303.720","41305.473","1.753"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41306.224","41309.721","3.497"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41310.002","41310.254","0.252"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Agnostic behavior",NA,NA,"STATE","41311.002","41312.001","0.999"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41312.250","41323.051","10.801"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Browsing","Browsing","Low","STATE","41323.751","41326.039","2.288"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41326.290","41330.542","4.252"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41331.290","41331.322","0.032"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41331.822","41338.222","6.400"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41338.593","41340.844","2.251"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41341.371","41341.623","0.252"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Grazing","Foraging","While walking","STATE","41341.872","41342.623","0.751"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41342.623","41343.874","1.251"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41344.373","41345.372","0.999"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41346.121","41351.902","5.781"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Agnostic behavior",NA,NA,"STATE","41352.023","41353.773","1.750"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41354.022","41354.550","0.528"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Agnostic behavior",NA,NA,"STATE","41354.803","41356.052","1.249"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41356.052","41357.538","1.486"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41357.539","41363.290","5.751"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41363.692","41365.692","2.000"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","41366.194","41368.852","2.658"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","41369.100","41378.353","9.253"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41378.402","41380.649","2.247"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41381.151","41384.009","2.858"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41384.143","41384.894","0.751"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Grazing","Foraging","Ground","STATE","41386.143","41386.169","0.026"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","41386.924","41392.000","5.076"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","41392.705","41393.700","0.995"
