Name,threshold,ID,IndMean,IndMax,SpeciesMean,SpeciesMeanMax,Species,LogMass,Device,DeviceAttachment
Buchmann_Horse,active,geronimo,0.548638324389648,1.54827638108188,0.410646144206313,1.7537183416558,Dulmener  and Shetland Pony,5.34,,Collar
Buchmann_Horse,active,marek,0.344883112815326,1.7537183416558,0.410646144206313,1.7537183416558,Dulmener  and Shetland Pony,5.34,,Collar
Buchmann_Horse,active,mephisto,0.394464991252633,1.0634314426274,0.410646144206313,1.7537183416558,Dulmener  and Shetland Pony,5.34,,Collar
Buchmann_Horse,active,nevada,0.354598148367644,1.67984682672713,0.410646144206313,1.7537183416558,Dulmener  and Shetland Pony,5.34,,Collar
Buchmann_MerinoSheep,active,15,0.218454857454741,1.7144566696088,0.267990683629492,6.53685904873509,Merino,5,,Collar
Buchmann_MerinoSheep,active,6,0.242363014528113,1.68563488155307,0.267990683629492,6.53685904873509,Merino,5,,Collar
Buchmann_MerinoSheep,active,17,0.442663668764068,2.47606809502669,0.267990683629492,6.53685904873509,Merino,5,,Collar
Buchmann_MerinoSheep,active,8,0.190154920399583,1.67343826176184,0.267990683629492,6.53685904873509,Merino,5,,Collar
Buchmann_MerinoSheep,active,4,0.246316957000956,6.53685904873509,0.267990683629492,6.53685904873509,Merino,5,,Collar
Buchmann_MerinoSheep,inactive,15,0.0160210030016506,0.0498115828991412,0.0352238320961612,0.0499329356744544,Merino,5,,Collar
Buchmann_MerinoSheep,inactive,6,0.041273633136036,0.0441303487442485,0.0352238320961612,0.0499329356744544,Merino,5,,Collar
Buchmann_MerinoSheep,inactive,17,0.0460158543845315,0.0499329356744544,0.0352238320961612,0.0499329356744544,Merino,5,,Collar
Buchmann_MerinoSheep,inactive,8,0.0375848378624267,0.0499125053907746,0.0352238320961612,0.0499329356744544,Merino,5,,Collar
Buchmann_Mule,active,viska,0.300672291712018,1.18938599645672,0.300672291712018,1.18938599645672,Mule,5.47,,Collar
Buchmann_Pig,active,619,0.532703495594318,2.06004354727168,0.645240115517941,4.84521944231404,Deutsche Landrasse x Pietrain and Kunekune,5.11,,Collar
Buchmann_Pig,active,643,0.876480743157447,4.84521944231404,0.645240115517941,4.84521944231404,Deutsche Landrasse x Pietrain and Kunekune,5.11,,Collar
Buchmann_Pig,active,660,0.702538775976114,1.76958948090953,0.645240115517941,4.84521944231404,Deutsche Landrasse x Pietrain and Kunekune,5.11,,Collar
Buchmann_Pig,active,specki,0.559708081359605,1.15209444125333,0.645240115517941,4.84521944231404,Deutsche Landrasse x Pietrain and Kunekune,5.11,,Collar
Buchmann_Pig,active,tommy,0.554769481502222,1.08309043370858,0.645240115517941,4.84521944231404,Deutsche Landrasse x Pietrain and Kunekune,5.11,,Collar
Clemente_Echidna,active,B1,0.221644783264792,0.972427121661242,0.222571418413449,0.972427121661242,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,active,B2,0.275780333783617,0.907779725919336,0.222571418413449,0.972427121661242,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,active,Frank,0.20791410463685,0.838247438829806,0.222571418413449,0.972427121661242,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,active,Green,0.232329169272262,0.78584246576147,0.222571418413449,0.972427121661242,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,active,Orange,0.175188701109724,0.849120454302453,0.222571418413449,0.972427121661242,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,inactive,B1,0.024587563318211,0.0499033443751652,0.0271681868611435,0.0499893158997471,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,inactive,B2,0.0229182245292625,0.0488892208704469,0.0271681868611435,0.0499893158997471,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,inactive,Frank,0.0315558499442349,0.0499893158997471,0.0271681868611435,0.0499893158997471,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,inactive,Green,0.0241489810873487,0.0497534155704426,0.0271681868611435,0.0499893158997471,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Echidna,inactive,Orange,0.0326303154266605,0.0499095362335307,0.0271681868611435,0.0499893158997471,Short-beaked echidna,3.51,LIS302DL,Back
Clemente_Impala,active,10,0.127699300385941,3.16064776998651,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,5,0.152235836981846,4.68703277159257,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,12,0.160303430333824,2.89553388397529,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,6,0.118473175876724,3.96723245639704,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,13,0.133559540288275,2.96882128506883,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,7,0.133465208154975,3.49507626609469,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,14,0.187906322104507,2.97714765592409,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,8,0.1475137299844,4.35037063999514,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,15,0.13578752683163,2.56858512668015,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,9,0.197550253460078,4.7032764141397,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,2,0.113314958437071,2.69220068797008,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,active,3,0.157518735936889,3.64886266845528,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar
Clemente_Impala,inactive,2,0.0162434222047615,0.049999447713028,0.0119469371318639,0.0499999526120121,Common Impala,4.69,Axivity,Collar
Clemente_Impala,inactive,3,0.00705277488586774,0.0499964528391439,0.0119469371318639,0.0499999526120121,Common Impala,4.69,Axivity,Collar
